match_number,date,kickoff_utc,stage,group,home_team,away_team,stadium,host_city,match_url
20,6/16/2026,2026-06-17T04:00:00Z,group-stage,J,Austria,Jordan,Levi's Stadium,san-francisco,https://www.thestatsapi.com/world-cup/matches/austria-vs-jordan-2026-06-16
21,6/17/2026,2026-06-17T23:00:00Z,group-stage,L,Ghana,Panama,BMO Field,toronto,https://www.thestatsapi.com/world-cup/matches/ghana-vs-panama-2026-06-17
22,6/17/2026,2026-06-17T20:00:00Z,group-stage,L,England,Croatia,AT&T Stadium,dallas,https://www.thestatsapi.com/world-cup/matches/england-vs-croatia-2026-06-17
23,6/17/2026,2026-06-17T17:00:00Z,group-stage,K,Portugal,Congo DR,NRG Stadium,houston,https://www.thestatsapi.com/world-cup/matches/portugal-vs-congo-dr-2026-06-17
24,6/17/2026,2026-06-18T02:00:00Z,group-stage,K,Uzbekistan,Colombia,Estadio Azteca,mexico-city,https://www.thestatsapi.com/world-cup/matches/uzbekistan-vs-colombia-2026-06-17
25,6/18/2026,2026-06-18T16:00:00Z,group-stage,A,Czechia,South Africa,Mercedes-Benz Stadium,atlanta,https://www.thestatsapi.com/world-cup/matches/czechia-vs-south-africa-2026-06-18
26,6/18/2026,2026-06-18T19:00:00Z,group-stage,B,Switzerland,Bosnia and Herzegovina,SoFi Stadium,los-angeles,https://www.thestatsapi.com/world-cup/matches/switzerland-vs-bosnia-and-herzegovina-2026-06-18
27,6/18/2026,2026-06-18T22:00:00Z,group-stage,B,Canada,Qatar,BC Place,vancouver,https://www.thestatsapi.com/world-cup/matches/canada-vs-qatar-2026-06-18
28,6/18/2026,2026-06-19T01:00:00Z,group-stage,A,Mexico,Korea Republic,Estadio Akron,guadalajara,https://www.thestatsapi.com/world-cup/matches/mexico-vs-korea-republic-2026-06-18
29,6/19/2026,2026-06-20T01:00:00Z,group-stage,C,Brazil,Haiti,Lincoln Financial Field,philadelphia,https://www.thestatsapi.com/world-cup/matches/brazil-vs-haiti-2026-06-19
30,6/19/2026,2026-06-19T22:00:00Z,group-stage,C,Scotland,Morocco,Gillette Stadium,boston,https://www.thestatsapi.com/world-cup/matches/scotland-vs-morocco-2026-06-19
31,6/19/2026,2026-06-20T03:00:00Z,group-stage,D,Turkiye,Paraguay,Levi's Stadium,san-francisco,https://www.thestatsapi.com/world-cup/matches/turkiye-vs-paraguay-2026-06-19
32,6/19/2026,2026-06-19T19:00:00Z,group-stage,D,United States,Australia,Lumen Field,seattle,https://www.thestatsapi.com/world-cup/matches/united-states-vs-australia-2026-06-19
33,6/20/2026,2026-06-20T20:00:00Z,group-stage,E,Germany,Cote d'Ivoire,BMO Field,toronto,https://www.thestatsapi.com/world-cup/matches/germany-vs-cote-divoire-2026-06-20
34,6/20/2026,2026-06-21T00:00:00Z,group-stage,E,Ecuador,Curacao,Arrowhead Stadium,kansas-city,https://www.thestatsapi.com/world-cup/matches/ecuador-vs-curacao-2026-06-20
35,6/20/2026,2026-06-20T17:00:00Z,group-stage,F,Netherlands,Sweden,NRG Stadium,houston,https://www.thestatsapi.com/world-cup/matches/netherlands-vs-sweden-2026-06-20
36,6/20/2026,2026-06-21T04:00:00Z,group-stage,F,Tunisia,Japan,Estadio BBVA,monterrey,https://www.thestatsapi.com/world-cup/matches/tunisia-vs-japan-2026-06-20
37,6/21/2026,2026-06-21T22:00:00Z,group-stage,H,Uruguay,Cabo Verde,Hard Rock Stadium,miami,https://www.thestatsapi.com/world-cup/matches/uruguay-vs-cabo-verde-2026-06-21
